WMO_ID,Latitude,Longitude,Elevation,File
030750-99999,58.459,-3.093,38.4,03075099999.csv
030800-99999,57.083,-2.833,140,03080099999.csv
030880-99999,56.85,-2.267,134,03088099999.csv
030910-99999,57.202,-2.198,65.5,03091099999.csv
030920-99999,57.5,-1.767,15,03092099999.csv
031000-99999,56.499,-6.869,11.6,03100099999.csv
031050-99999,55.683,-6.25,17,03105099999.csv
031110-99999,55.433,-5.7,10,03111099999.csv
031140-99999,56.417,-5.467,4,03114099999.csv
031180-99999,55,-5.15,15,03118099999.csv
031310-99999,54.633,-4.85,78,03131099999.csv
031320-99999,54.85,-4.95,12,03132099999.csv
031340-99999,55.9,-4.533,59,03134099999.csv
031350-99999,55.509,-4.587,19.8,03135099999.csv
031394-99999,55.437,-5.686,12.8,03139499999.csv
031400-99999,55.872,-4.433,7.9,03140099999.csv
031440-99999,56.317,-3.733,35,03144099999.csv
031480-99999,56.417,-4.317,564,03148099999.csv
031520-99999,55.861,-3.875,277,03152099999.csv
031530-99999,54.8,-4,113,03153099999.csv
031540-99999,55.05,-3.65,16,03154099999.csv
031550-99999,55.617,-3.733,245,03155099999.csv
031580-99999,55.7,-2.383,111,03158099999.csv
031600-99999,55.95,-3.373,41.1,03160099999.csv
031610-99999,55.7,-3.217,195,03161099999.csv
031620-99999,55.317,-3.2,242,03162099999.csv
031634-99999,56.452,-3.026,5.2,03163499999.csv
031650-99999,55.05,-2.55,325,03165099999.csv
031710-99999,56.373,-2.868,11.6,03171099999.csv
031740-99999,56.3,-2.583,12,03174099999.csv
031850-99999,55.917,-2.133,75,03185099999.csv
032040-99999,54.083,-4.624,16.8,03204099999.csv
032080-99999,54.417,-4.367,9,03208099999.csv
032100-99999,54.517,-3.6,123,03210099999.csv
032120-99999,54.617,-3.167,81,03212099999.csv
032130-99999,54.317,-3.4,9,03213099999.csv
032140-99999,54.131,-3.264,14.3,03214099999.csv
032150-99999,54.767,-3.317,62,03215099999.csv
032200-99999,54.933,-2.967,27,03220099999.csv
032220-99999,54.938,-2.809,57.9,03222099999.csv
032240-99999,55.05,-2.55,286,03224099999.csv
032250-99999,54.5,-2.683,255,03225099999.csv
032260-99999,54.567,-2.417,227,03226099999.csv
032270-99999,54.683,-2.45,847,03227099999.csv
